1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Algae,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Random,None,Smooth,Silver,N/A,Smooth,Yellow,N/A,Flaky,Green,N/A,None,Terminal,Obovate (Egg Narrow at Base),Spiny,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,White,N/A,Budding / Fragmentation,Other,Animal,Compound,Spike,Avg. (1-5cm),Toothed,Hairy,Terminal,None,Annual (Once),Smooth,Red,Spotted & Blushed,10+,1,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Whole,Abortifacient,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Rare,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Tap,Smooth,Green,N/A,Waxy,Black,N/A,Smooth,Green,N/A,Compound,Branch Points,Deltoid (Triangular),Smooth,Sticky,None,Singles (1),Waxy,Green,N/A,Seeds,Spore,Wind,Pairs,Bell,Small (5-10mm),Toothed,Velvety,Stem / Trunk,Sweet,Perennial (Yearly),Smooth,Orange,Blushed,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Other,Abortifacient,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Calmative,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Ordered,Tap,Scaly,Green,N/A,Scaly,Grey,N/A,Scaly,Orange,N/A,Needles,Branch Points,Palmate (Hand-Like),Lobate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Rough,White,N/A,Seeds,Nut,Gravity,Bunches,Cone,Avg. (1-5cm),Blade,Veined,Branch Points & Terminal,Sweet,Other,Smooth,Gold,Solid,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Fomentation,Acrid,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Infusion,Soporific,Edible,Raw,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Solitary (1-2),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Other,Orange,N/A,Smooth,Brown,N/A,Smooth,White,N/A,Compound,Stem / Trunk,Ovate (Egg Wide at Base),Undulate,Error: Roll Out of Range,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Flaky & Smooth,Brown,N/A,Seeds,Nut,Animal,Compound,Sphere,Avg. (1-5cm),Curly,Smooth,Regular Interval,Sweet,Poly-Annual (2-7 Years),Waxy,Yellow,Translucent,1-3,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ointment,Insecticide,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Medicinal / Other,Cold Extract,Narcotic,
Algae,Aquatic,Salt Water,Rare,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Random,None,Flaky,Green,N/A,Smooth,Brown & Green,Solid,Smooth,Green,N/A,None,Random Interval & Terminal,Acuminate (Taper to Long Point),Denticulate,Smooth,None,Whorls (3-5),Smooth,Copper,N/A,Budding / Fragmentation,Spore,Animal,Single,Funnel,Avg. (1-5cm),Round,Veined & Hairy,Terminal,Musky,Other,Smooth,White,Night Closing & Solid,1-3,2-4,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Solitary (1-2),Tiny (<5cm),Creeper Vine,Radial,Fibrous,Smooth,Silver,N/A,Smooth,Brown,N/A,Other,Violet,N/A,Blades,Stem / Trunk,Orbicular (Circular),Dentate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Smooth,White,N/A,Seeds,Grain,Gravity,Bunches,Bell,Tiny (<5mm),Toothed,Hairy,Regular Interval,Other / Specific,Annual (Once),Smooth,Green,Blushed,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Poultice,Diaphoretic,Medicinal / Other,Cold Compress,Analgesic,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Pectoral,Edible,Steeped,N/A,
Fungus,Sub-Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Tiny (<5cm),Creeper Vine,None,Rhizoid,Smooth,Green,N/A,Scaly,Black,N/A,Waxy,Black,N/A,None,Terminal,Obtuse (Bluntly Tipped),Serate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Flaky,Red,N/A,Other,Other,Wind,Other,Complex,Small (5-10mm),Blade,Smooth,Terminal,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Patches,10+,0,Decay,None,Non-Sentient,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Edible,Steeped,N/A,
Herbaceous,Aquatic,Salt Water,Uncommon,Small Patch (1-12),Small (5-25cm),Creeper Vine,Radial,Tap,Smooth,Brown,N/A,Waxy,Green,N/A,Rough,Blue,N/A,Blades,Regular Interval,Pedate (Palmate Divided Latteral Lobes),Serate,Sticky,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Blue,N/A,Suckers,Fruit,Animal,Pairs,Spike,Avg. (1-5cm),Round,Waxy,Terminal,Foul,Other,Waxy,Yellow,Mottled,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Juice,Hypnotic,Non-Edible,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Cardiac,Edible,Ground,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Smooth,Brown,N/A,Smooth,Copper,N/A,Flaky,Red,N/A,Compound,Branch Points,Deltoid (Triangular),Lobate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+) & Pairs (2),Waxy,Green,N/A,Suckers,Other,Wind,Compound,Cone,Tiny (<5mm),Round,Smooth,Regular Interval,Foul,Annual (Once),Waxy,Silver,Blushed,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Depressant,Edible,Dried,N/A,
Fungus,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Scaly,Grey & Brown,Phases,Flaky,Blue & Green,Spotted,Smooth,Green,N/A,Blades,Terminal,Pedate (Palmate Divided Latteral Lobes),Lobate,VelvetyDusty,None,Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,None,Non-Sentient,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,
